有無,BmpNo,待機時間,XPOS,YPOS,(RECT)UPOS,(R)VPOS,(R)WIDTH,(R)HIGHT,モード,
ON,320,8,-30,463,0,0,100,89,ANIM_MODE_NEXT,
ON,320,8,-26,463,100,0,100,89,ANIM_MODE_NEXT,
ON,320,8,-22,463,0,0,100,89,ANIM_MODE_NEXT,
ON,320,8,-18,463,100,0,100,89,ANIM_MODE_NEXT,
ON,320,8,-14,463,0,0,100,89,ANIM_MODE_NEXT,
ON,320,8,-10,463,100,0,100,89,ANIM_MODE_NEXT,
ON,320,8,-6,463,0,0,100,89,ANIM_MODE_NEXT,
ON,320,8,-2,463,100,0,100,89,ANIM_MODE_NEXT,
ON,320,8,2,463,0,0,100,89,ANIM_MODE_NEXT,
ON,320,8,6,463,100,0,100,89,ANIM_MODE_NEXT,
ON,320,8,10,463,0,0,100,89,ANIM_MODE_NEXT,
ON,320,8,14,463,100,0,100,89,ANIM_MODE_NEXT,
ON,320,8,18,463,0,0,100,89,ANIM_MODE_NEXT,
ON,320,8,22,463,100,0,100,89,ANIM_MODE_NEXT,
ON,320,8,26,463,0,0,100,89,ANIM_MODE_NEXT,
ON,320,8,30,463,100,0,100,89,ANIM_MODE_NEXT,
ON,320,8,34,463,0,0,100,89,ANIM_MODE_NEXT,
ON,320,8,38,463,100,0,100,89,ANIM_MODE_NEXT,
ON,320,8,42,463,0,0,100,89,ANIM_MODE_NEXT,
ON,320,8,46,463,100,0,100,89,ANIM_MODE_NEXT,
ON,320,8,50,463,0,0,100,89,ANIM_MODE_NEXT,
ON,320,8,54,463,100,0,100,89,ANIM_MODE_NEXT,
ON,320,8,58,463,0,0,100,89,ANIM_MODE_NEXT,
ON,320,8,62,463,100,0,100,89,ANIM_MODE_NEXT,
ON,320,8,66,463,0,0,100,89,ANIM_MODE_NEXT,
ON,320,8,70,463,100,0,100,89,ANIM_MODE_NEXT,
ON,320,8,74,463,0,0,100,89,ANIM_MODE_NEXT,
ON,320,8,78,463,100,0,100,89,ANIM_MODE_NEXT,
ON,320,8,82,463,0,0,100,89,ANIM_MODE_NEXT,
ON,320,8,86,463,100,0,100,89,ANIM_MODE_NEXT,
ON,320,8,90,463,0,0,100,89,ANIM_MODE_NEXT,
ON,320,8,94,463,100,0,100,89,ANIM_MODE_NEXT,
ON,320,8,98,463,0,0,100,89,ANIM_MODE_NEXT,
ON,320,8,102,463,100,0,100,89,ANIM_MODE_NEXT,
ON,320,8,106,463,0,0,100,89,ANIM_MODE_NEXT,
ON,320,8,110,463,100,0,100,89,ANIM_MODE_NEXT,
ON,320,8,114,463,0,0,100,89,ANIM_MODE_NEXT,
ON,320,8,118,463,100,0,100,89,ANIM_MODE_NEXT,
ON,320,8,122,463,0,0,100,89,ANIM_MODE_NEXT,
ON,320,8,126,463,100,0,100,89,ANIM_MODE_NEXT,
ON,320,8,130,463,0,0,100,89,ANIM_MODE_NEXT,
ON,320,8,134,463,100,0,100,89,ANIM_MODE_NEXT,
ON,320,8,138,463,0,0,100,89,ANIM_MODE_NEXT,
ON,320,8,142,463,100,0,100,89,ANIM_MODE_NEXT,
ON,320,8,146,463,0,0,100,89,ANIM_MODE_NEXT,
ON,320,8,150,463,100,0,100,89,ANIM_MODE_NEXT,
ON,320,8,154,463,0,0,100,89,ANIM_MODE_NEXT,
ON,320,8,158,463,100,0,100,89,ANIM_MODE_NEXT,
ON,320,8,162,463,0,0,100,89,ANIM_MODE_NEXT,
ON,320,8,166,463,100,0,100,89,ANIM_MODE_NEXT,
ON,320,8,170,463,0,0,100,89,ANIM_MODE_NEXT,
ON,320,8,174,463,100,0,100,89,ANIM_MODE_NEXT,
ON,320,8,178,463,0,0,100,89,ANIM_MODE_NEXT,
ON,320,8,182,463,100,0,100,89,ANIM_MODE_NEXT,
ON,320,8,186,463,0,0,100,89,ANIM_MODE_NEXT,
ON,320,8,190,463,100,0,100,89,ANIM_MODE_NEXT,
ON,320,8,194,463,0,0,100,89,ANIM_MODE_NEXT,
ON,320,8,198,463,100,0,100,89,ANIM_MODE_NEXT,
ON,320,8,202,463,0,0,100,89,ANIM_MODE_NEXT,
ON,320,8,206,463,100,0,100,89,ANIM_MODE_NEXT,
ON,320,8,210,463,0,0,100,89,ANIM_MODE_NEXT,
ON,320,8,214,463,100,0,100,89,ANIM_MODE_NEXT,
ON,320,8,218,463,0,0,100,89,ANIM_MODE_NEXT,
ON,320,8,222,463,100,0,100,89,ANIM_MODE_NEXT,
ON,320,8,226,463,0,0,100,89,ANIM_MODE_NEXT,
ON,320,8,230,463,100,0,100,89,ANIM_MODE_NEXT,
ON,320,8,234,463,0,0,100,89,ANIM_MODE_NEXT,
ON,320,8,238,463,100,0,100,89,ANIM_MODE_NEXT,
