óLñ≥,éÌóﬁ,BmpNo,X,Y,OFF[0],OFF[1],ÉÇÅ[Éh,
ON,Grass,250,1,7,0,0,GIMMICK_MODE_STAY,
ON,Grass,251,2,7,0,4,GIMMICK_MODE_STAY,
ON,Grass,252,6,7,0,2,GIMMICK_MODE_STAY,
ON,Grass,253,10,7,0,0,GIMMICK_MODE_STAY,
ON,Grass,254,28,7,0,4,GIMMICK_MODE_STAY,
ON,Grass,255,33,7,0,7,GIMMICK_MODE_STAY,
ON,Grass,256,34,7,0,7,GIMMICK_MODE_STAY,
ON,Grass,257,41,7,0,7,GIMMICK_MODE_STAY,
ON,Grass,258,44,7,0,7,GIMMICK_MODE_STAY,
ON,SpeedUp,450,12,6,0,0,GIMMICK_MODE_STAY,
ON,SpeedUp,451,317,8,0,0,GIMMICK_MODE_STAY,
ON,SpeedUp,452,332,4,0,0,GIMMICK_MODE_STAY,
