有無,BmpNo,待機時間,XPOS,YPOS,(RECT)UPOS,(R)VPOS,(R)WIDTH,(R)HIGHT,モード,
ON,1015,8,-40,523,0,0,200,178,ANIM_MODE_NEXT,
ON,1016,8,-36,523,0,0,200,178,ANIM_MODE_NEXT,
ON,1017,8,-32,523,0,0,200,178,ANIM_MODE_NEXT,
ON,1018,8,-28,523,0,0,200,178,ANIM_MODE_NEXT,
,,,,,,,,,,
ON,1019,8,40,523,0,0,200,178,ANIM_MODE_NEXT,
ON,1019,8,40,523,0,0,200,178,ANIM_MODE_NEXT,
ON,1019,8,40,523,0,0,200,178,ANIM_MODE_NEXT,
ON,1019,8,40,523,0,0,200,178,ANIM_MODE_NEXT,
ON,1019,8,40,523,0,0,200,178,ANIM_MODE_NEXT,
ON,1019,8,40,523,0,0,200,178,ANIM_MODE_NEXT,
ON,1019,8,40,523,0,0,200,178,ANIM_MODE_NEXT,
ON,1019,8,40,523,0,0,200,178,ANIM_MODE_NEXT,
ON,1019,8,40,523,0,0,200,178,ANIM_MODE_NEXT,
ON,1019,8,40,523,0,0,200,178,ANIM_MODE_NEXT,
ON,1019,8,40,523,0,0,200,178,ANIM_MODE_NEXT,
ON,1019,8,40,523,0,0,200,178,ANIM_MODE_NEXT,
ON,1019,8,40,523,0,0,200,178,ANIM_MODE_NEXT,
ON,1019,8,40,523,0,0,200,178,ANIM_MODE_NEXT,
ON,1019,8,40,523,0,0,200,178,ANIM_MODE_NEXT,
ON,1019,8,40,523,0,0,200,178,ANIM_MODE_NEXT,
ON,1019,8,40,523,0,0,200,178,ANIM_MODE_NEXT,
ON,1019,8,40,523,0,0,200,178,ANIM_MODE_NEXT,
ON,1019,8,40,523,0,0,200,178,ANIM_MODE_NEXT,
ON,1019,8,40,523,0,0,200,178,ANIM_MODE_NEXT,
ON,1019,8,40,523,0,0,200,178,ANIM_MODE_LOOP,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
