有無,BmpNo,待機時間,XPOS,YPOS,(RECT)UPOS,(R)VPOS,(R)WIDTH,(R)HIGHT,モード,
ON,340,8,-40,323,0,0,620,242,ANIM_MODE_NEXT,
ON,340,8,-36,323,0,0,620,242,ANIM_MODE_NEXT,
ON,340,8,-32,323,0,0,620,242,ANIM_MODE_NEXT,
ON,340,8,-28,323,0,0,620,242,ANIM_MODE_NEXT,
ON,340,8,-24,323,0,0,620,242,ANIM_MODE_NEXT,
ON,340,8,-20,323,0,0,620,242,ANIM_MODE_NEXT,
ON,340,8,-16,323,0,0,620,242,ANIM_MODE_NEXT,
ON,340,8,-12,323,0,0,620,242,ANIM_MODE_NEXT,
ON,340,8,-8,323,0,0,620,242,ANIM_MODE_NEXT,
ON,340,8,-4,323,0,0,620,242,ANIM_MODE_NEXT,
ON,340,8,0,323,0,0,620,242,ANIM_MODE_NEXT,
ON,340,8,4,323,0,0,620,242,ANIM_MODE_NEXT,
ON,340,8,8,323,0,0,620,242,ANIM_MODE_NEXT,
ON,340,8,12,323,0,0,620,242,ANIM_MODE_NEXT,
ON,340,8,16,323,0,0,620,242,ANIM_MODE_NEXT,
ON,340,8,20,323,0,0,620,242,ANIM_MODE_NEXT,
ON,340,8,24,323,0,0,620,242,ANIM_MODE_NEXT,
ON,340,8,28,323,0,0,620,242,ANIM_MODE_NEXT,
ON,340,8,32,323,0,0,620,242,ANIM_MODE_NEXT,
ON,340,8,36,323,0,0,620,242,ANIM_MODE_NEXT,
ON,340,8,40,323,0,0,620,242,ANIM_MODE_NEXT,
ON,340,8,44,323,0,0,620,242,ANIM_MODE_NEXT,
ON,340,8,48,323,0,0,620,242,ANIM_MODE_NEXT,
ON,340,8,52,323,0,0,620,242,ANIM_MODE_NEXT,
ON,340,8,56,323,0,0,620,242,ANIM_MODE_NEXT,
ON,340,8,60,323,0,0,620,242,ANIM_MODE_NEXT,
ON,340,8,64,323,0,0,620,242,ANIM_MODE_NEXT,
ON,340,8,68,323,0,0,620,242,ANIM_MODE_NEXT,
ON,340,8,72,323,0,0,620,242,ANIM_MODE_NEXT,
ON,340,8,76,323,0,0,620,242,ANIM_MODE_NEXT,
ON,340,8,80,323,0,0,620,242,ANIM_MODE_NEXT,
ON,340,8,84,323,0,0,620,242,ANIM_MODE_NEXT,
ON,340,8,88,323,0,0,620,242,ANIM_MODE_NEXT,
ON,340,8,92,323,0,0,620,242,ANIM_MODE_NEXT,
ON,340,8,96,323,0,0,620,242,ANIM_MODE_NEXT,
ON,340,8,100,323,0,0,620,242,ANIM_MODE_NEXT,
ON,340,8,104,323,0,0,620,242,ANIM_MODE_NEXT,
ON,340,8,108,323,0,0,620,242,ANIM_MODE_NEXT,
ON,340,8,112,323,0,0,620,242,ANIM_MODE_NEXT,
ON,340,8,116,323,0,0,620,242,ANIM_MODE_NEXT,
ON,340,8,120,323,0,0,620,242,ANIM_MODE_NEXT,
ON,340,8,124,323,0,0,620,242,ANIM_MODE_NEXT,
ON,340,8,128,323,0,0,620,242,ANIM_MODE_NEXT,
ON,340,8,132,323,0,0,620,242,ANIM_MODE_NEXT,
ON,340,8,136,323,0,0,620,242,ANIM_MODE_NEXT,
ON,340,8,140,323,0,0,620,242,ANIM_MODE_NEXT,
ON,340,8,144,323,0,0,620,242,ANIM_MODE_NEXT,
ON,340,8,148,323,0,0,620,242,ANIM_MODE_NEXT,
ON,340,8,152,323,0,0,620,242,ANIM_MODE_NEXT,
ON,340,8,156,323,0,0,620,242,ANIM_MODE_NEXT,
ON,340,8,160,323,0,0,620,242,ANIM_MODE_NEXT,
ON,340,8,164,323,0,0,620,242,ANIM_MODE_NEXT,
ON,340,8,168,323,0,0,620,242,ANIM_MODE_NEXT,
ON,340,8,172,323,0,0,620,242,ANIM_MODE_NEXT,
ON,340,8,176,323,0,0,620,242,ANIM_MODE_NEXT,
ON,340,8,180,323,0,0,620,242,ANIM_MODE_NEXT,
ON,340,8,184,323,0,0,620,242,ANIM_MODE_NEXT,
ON,340,8,188,323,0,0,620,242,ANIM_MODE_NEXT,
ON,340,8,192,323,0,0,620,242,ANIM_MODE_NEXT,
ON,340,8,196,323,0,0,620,242,ANIM_MODE_NEXT,
