有無,BmpNo,待機時間,XPOS,YPOS,(RECT)UPOS,(R)VPOS,(R)WIDTH,(R)HIGHT,モード,
ON,2035,8,-24,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2036,8,-20,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2037,8,-16,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2038,8,-12,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2035,8,-8,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2036,8,-4,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2037,8,0,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2038,8,4,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2035,8,8,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2036,8,12,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2037,8,16,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2038,8,20,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2035,8,24,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2036,8,28,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2037,8,32,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2038,8,36,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2035,8,40,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2036,8,44,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2037,8,48,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2038,8,52,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2035,8,56,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2036,8,60,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2037,8,64,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2038,8,68,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2035,8,72,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2036,8,76,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2037,8,80,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2038,8,84,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2035,8,88,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2036,8,92,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2037,8,96,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2038,8,100,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2035,8,104,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2036,8,108,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2037,8,112,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2038,8,116,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2035,8,120,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2036,8,124,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2037,8,128,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2038,8,132,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2035,8,136,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2036,8,140,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2037,8,144,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2038,8,148,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2035,8,152,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2036,8,156,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2037,8,160,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2038,8,164,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2035,8,168,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2036,8,172,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2037,8,176,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2038,8,180,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2035,8,184,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2036,8,188,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2037,8,192,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2038,8,196,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2035,8,200,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2036,8,204,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2037,8,208,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2038,8,212,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2035,8,216,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2036,8,220,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2037,8,224,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2038,8,228,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2035,8,232,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2036,8,236,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2037,8,240,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2038,8,244,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2035,8,248,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2036,8,252,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2037,8,256,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2038,8,260,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2035,8,264,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2036,8,268,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2037,8,272,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2038,8,276,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2035,8,280,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2036,8,284,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2037,8,288,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2038,8,292,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2035,8,296,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2036,8,300,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2037,8,304,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2038,8,308,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2035,8,312,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2036,8,316,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2037,8,320,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2038,8,324,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2035,8,328,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2036,8,332,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2037,8,336,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2038,8,340,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2035,8,344,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2036,8,348,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2037,8,352,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2038,8,356,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2035,8,360,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2036,8,364,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2037,8,368,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2038,8,372,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2035,8,376,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2036,8,380,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2037,8,384,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2038,8,388,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2035,8,392,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2036,8,396,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2037,8,400,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2038,8,404,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2035,8,408,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2036,8,412,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2037,8,416,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2038,8,420,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2035,8,424,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2036,8,428,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2037,8,432,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2038,8,436,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2035,8,440,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2036,8,444,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2037,8,448,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2038,8,452,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2035,8,456,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2036,8,460,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2037,8,464,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2038,8,468,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2035,8,472,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2036,8,476,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2037,8,480,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2038,8,484,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2035,8,488,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2036,8,492,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2037,8,496,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2038,8,500,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2035,8,504,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2036,8,508,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2037,8,512,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2038,8,516,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2035,8,520,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2036,8,524,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2037,8,528,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2038,8,532,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2035,8,536,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2036,8,540,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2037,8,544,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2038,8,548,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2035,8,552,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2036,8,556,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2037,8,560,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2038,8,564,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2035,8,568,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2036,8,572,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2037,8,576,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2038,8,580,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2035,8,584,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2036,8,588,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2037,8,592,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2038,8,596,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2035,8,600,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2036,8,604,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2037,8,608,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2038,8,612,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2035,8,616,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2036,8,620,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2037,8,624,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2038,8,628,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2035,8,632,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2036,8,636,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2037,8,640,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2038,8,644,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2035,8,648,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2036,8,652,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2037,8,656,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2038,8,660,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2035,8,664,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2036,8,668,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2037,8,672,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2038,8,676,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2035,8,680,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2036,8,684,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2037,8,688,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2038,8,692,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2035,8,696,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2036,8,700,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2037,8,704,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2038,8,708,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2035,8,712,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2036,8,716,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2037,8,720,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2038,8,724,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2035,8,728,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2036,8,732,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2037,8,736,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2038,8,740,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2035,8,744,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2036,8,748,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2037,8,752,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2038,8,756,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2035,8,760,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2036,8,764,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2037,8,768,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2038,8,772,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2035,8,776,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2036,8,780,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2037,8,784,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2038,8,788,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2035,8,792,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2036,8,796,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2037,8,800,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2038,8,804,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2035,8,808,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2036,8,812,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2037,8,816,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2038,8,820,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2035,8,824,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2036,8,828,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2037,8,832,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2038,8,836,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2035,8,840,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2036,8,844,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2037,8,848,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2038,8,852,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2035,8,856,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2036,8,860,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2037,8,864,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2038,8,868,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2035,8,872,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2036,8,876,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2037,8,880,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2038,8,884,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2035,8,888,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2036,8,892,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2037,8,896,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2038,8,900,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2035,8,904,423,0,0,100,89,ANIM_MODE_NEXT,
ON,2036,8,908,423,0,0,100,89,ANIM_MODE_NEXT,
