有無,BmpNo,待機時間,XPOS,YPOS,(RECT)UPOS,(R)VPOS,(R)WIDTH,(R)HIGHT,モード,
ON,2015,8,-40,523,0,0,100,89,ANIM_MODE_NEXT,
ON,2016,8,-36,523,0,0,100,89,ANIM_MODE_NEXT,
ON,2017,8,-32,523,0,0,100,89,ANIM_MODE_NEXT,
ON,2018,8,-28,523,0,0,100,89,ANIM_MODE_NEXT,
ON,2015,8,-24,523,0,0,100,89,ANIM_MODE_NEXT,
ON,2016,8,-20,523,0,0,100,89,ANIM_MODE_NEXT,
ON,2017,8,-16,523,0,0,100,89,ANIM_MODE_NEXT,
ON,2018,8,-12,523,0,0,100,89,ANIM_MODE_NEXT,
ON,2015,8,-8,523,0,0,100,89,ANIM_MODE_NEXT,
ON,2016,8,-4,523,0,0,100,89,ANIM_MODE_NEXT,
ON,2017,8,0,523,0,0,100,89,ANIM_MODE_NEXT,
ON,2018,8,4,523,0,0,100,89,ANIM_MODE_NEXT,
ON,2015,8,8,523,0,0,100,89,ANIM_MODE_NEXT,
ON,2016,8,12,523,0,0,100,89,ANIM_MODE_NEXT,
ON,2017,8,16,523,0,0,100,89,ANIM_MODE_NEXT,
ON,2018,8,20,523,0,0,100,89,ANIM_MODE_NEXT,
ON,2015,8,24,523,0,0,100,89,ANIM_MODE_NEXT,
ON,2016,8,28,523,0,0,100,89,ANIM_MODE_NEXT,
ON,2017,8,32,523,0,0,100,89,ANIM_MODE_NEXT,
ON,2018,8,36,523,0,0,100,89,ANIM_MODE_NEXT,
ON,2015,8,40,523,0,0,100,89,ANIM_MODE_NEXT,
ON,2016,8,44,523,0,0,100,89,ANIM_MODE_NEXT,
ON,2017,8,48,523,0,0,100,89,ANIM_MODE_NEXT,
ON,2018,8,52,523,0,0,100,89,ANIM_MODE_NEXT,
ON,2015,8,56,523,0,0,100,89,ANIM_MODE_NEXT,
ON,2016,8,60,523,0,0,100,89,ANIM_MODE_NEXT,
ON,2017,8,64,523,0,0,100,89,ANIM_MODE_NEXT,
ON,2018,8,68,523,0,0,100,89,ANIM_MODE_NEXT,
ON,2015,8,72,523,0,0,100,89,ANIM_MODE_NEXT,
ON,2016,8,76,523,0,0,100,89,ANIM_MODE_NEXT,
ON,2017,8,80,523,0,0,100,89,ANIM_MODE_NEXT,
ON,2018,8,84,523,0,0,100,89,ANIM_MODE_NEXT,
ON,2015,8,88,523,0,0,100,89,ANIM_MODE_NEXT,
ON,2016,8,92,523,0,0,100,89,ANIM_MODE_NEXT,
ON,2017,8,96,523,0,0,100,89,ANIM_MODE_NEXT,
ON,2018,8,100,523,0,0,100,89,ANIM_MODE_NEXT,
ON,2015,8,104,523,0,0,100,89,ANIM_MODE_NEXT,
ON,2016,8,108,523,0,0,100,89,ANIM_MODE_NEXT,
ON,2017,8,112,523,0,0,100,89,ANIM_MODE_NEXT,
ON,2018,8,116,523,0,0,100,89,ANIM_MODE_NEXT,
ON,2015,8,120,523,0,0,100,89,ANIM_MODE_NEXT,
ON,2016,8,124,523,0,0,100,89,ANIM_MODE_NEXT,
ON,2017,8,128,523,0,0,100,89,ANIM_MODE_NEXT,
ON,2018,8,132,523,0,0,100,89,ANIM_MODE_NEXT,
ON,2015,8,136,523,0,0,100,89,ANIM_MODE_NEXT,
ON,2016,8,140,523,0,0,100,89,ANIM_MODE_NEXT,
ON,2017,8,144,523,0,0,100,89,ANIM_MODE_NEXT,
ON,2018,8,148,523,0,0,100,89,ANIM_MODE_NEXT,
ON,2015,8,152,523,0,0,100,89,ANIM_MODE_NEXT,
