有無,BmpNo,待機時間,XPOS,YPOS,(RECT)UPOS,(R)VPOS,(R)WIDTH,(R)HIGHT,モード,
ON,1916,7,-30,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1917,7,-26,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1918,7,-22,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1915,11,-18,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1916,7,-14,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1917,7,-10,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1918,7,-6,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1915,11,-2,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1916,7,2,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1917,7,6,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1918,7,10,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1915,11,14,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1916,7,18,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1917,7,22,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1918,7,26,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1915,11,30,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1916,7,34,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1917,7,38,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1918,7,42,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1915,11,46,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1916,7,50,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1917,7,54,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1918,7,58,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1915,11,62,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1916,7,66,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1917,7,70,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1918,7,74,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1915,11,78,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1916,7,82,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1917,7,86,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1918,7,90,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1915,11,94,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1916,7,98,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1917,7,102,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1918,7,106,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1915,11,110,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1916,7,114,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1917,7,118,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1918,7,122,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1915,11,126,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1916,7,130,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1917,7,134,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1918,7,138,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1915,11,142,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1916,7,146,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1917,7,150,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1918,7,154,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1915,11,158,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1916,7,162,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1917,7,166,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1918,7,170,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1915,11,174,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1916,7,178,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1917,7,182,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1918,7,186,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1915,11,190,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1916,7,194,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1917,7,198,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1918,7,202,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1915,11,206,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1916,7,210,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1917,7,214,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1918,7,218,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1915,11,222,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1916,7,226,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1917,7,230,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1918,7,234,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1915,11,238,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1916,7,242,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1917,7,246,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1918,7,250,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1915,11,254,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1916,7,258,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1917,7,262,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1918,7,266,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1915,11,270,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1916,7,274,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1917,7,278,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1918,7,282,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1915,11,286,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1916,7,290,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1917,7,294,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1918,7,298,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1915,11,302,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1916,7,306,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1917,7,310,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1918,7,314,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1915,11,318,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1916,7,322,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1917,7,326,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1918,7,330,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1915,11,334,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1916,7,338,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1917,7,342,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1918,7,346,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1915,11,350,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1916,7,354,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1917,7,358,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1918,7,362,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1915,11,366,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1916,7,370,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1917,7,374,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1918,7,378,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1915,11,382,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1916,7,386,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1917,7,390,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1918,7,394,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1915,11,398,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1916,7,402,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1917,7,406,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1918,7,410,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1915,11,414,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1916,7,418,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1917,7,422,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1918,7,426,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1915,11,430,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1916,7,434,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1917,7,438,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1918,7,442,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1915,11,446,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1916,7,450,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1917,7,454,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1918,7,458,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1915,11,462,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1916,7,466,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1917,7,470,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1918,7,474,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1915,11,478,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1916,7,482,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1917,7,486,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1918,7,490,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1915,11,494,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1916,7,498,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1917,7,502,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1918,7,506,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1915,11,510,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1916,7,514,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1917,7,518,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1918,7,522,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1915,11,526,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1916,7,530,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1917,7,534,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1918,7,538,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1915,11,542,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1916,7,546,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1917,7,550,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1918,7,554,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1915,11,558,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1916,7,562,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1917,7,566,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1918,7,570,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1915,11,574,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1916,7,578,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1917,7,582,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1918,7,586,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1915,11,590,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1916,7,594,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1917,7,598,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1918,7,602,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1915,11,606,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1916,7,610,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1917,7,614,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1918,7,618,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1915,11,622,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1916,7,626,523,0,0,100,89,ANIM_MODE_NEXT,
ON,1921,1,626,523,0,0,100,89,ANIM_MODE_STOP,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
