óLñ≥,éÌóﬁ,BmpNo,X,Y,OFF[0],OFF[1],ÉÇÅ[Éh,
OFF,MoveFloor,50,224,7,2,0,GIMMICK_MODE_WAVE,
OFF,Pendulum,100,58.5,5,0,0,GIMMICK_MODE_LEFTRIGHT,
OFF,CircularSaws,10,208,8,0,0,GIMMICK_MODE_LEFTRIGHT,
OFF,CircularSaws,11,218.5,3,1,0,GIMMICK_MODE_CYCLE,
OFF,CircularSaws,12,240,4,1,0,GIMMICK_MODE_WAVE,
OFF,Cloud,150,232,6,0,0,GIMMICK_MODE_STAY,
OFF,Cloud,151,235,6,0,90,GIMMICK_MODE_STAY,
OFF,Cloud,152,238,6,0,40,GIMMICK_MODE_STAY,
OFF,Cloud,153,242,6,0,20,GIMMICK_MODE_STAY,
OFF,Cloud,154,246,6,0,130,GIMMICK_MODE_STAY,
OFF,Cloud,155,255,4,0,0,GIMMICK_MODE_STAY,
OFF,Cloud,156,278,4,0,0,GIMMICK_MODE_STAY,
OFF,Cloud,157,281,1,0,90,GIMMICK_MODE_STAY,
OFF,Cloud,158,18,1,0,70,GIMMICK_MODE_STAY,
OFF,Cloud,159,12,2,0,10,GIMMICK_MODE_STAY,
OFF,Cloud,160,264,2,0,10,GIMMICK_MODE_STAY,
OFF,Cloud,161,271,1,0,10,GIMMICK_MODE_STAY,
OFF,Shocker,400,234,0,448,0,GIMMICK_MODE_UPDOWN,
OFF,Shocker,401,237,0,448,0,GIMMICK_MODE_UPDOWN,
OFF,Shooter,200,208,3,1,0,GIMMICK_MODE_STAY,
OFF,Shooter,201,281,6,1,0,GIMMICK_MODE_STAY,
OFF,Grass,250,10,8,0,0,GIMMICK_MODE_STAY,
OFF,Grass,251,11,8,0,4,GIMMICK_MODE_STAY,
OFF,Grass,252,16,8,0,2,GIMMICK_MODE_STAY,
OFF,Grass,253,20,8,0,0,GIMMICK_MODE_STAY,
OFF,Grass,254,21,8,0,4,GIMMICK_MODE_STAY,
OFF,Grass,255,23,8,0,7,GIMMICK_MODE_STAY,
OFF,Grass,256,53,5,0,7,GIMMICK_MODE_STAY,
OFF,Grass,257,55,5,0,7,GIMMICK_MODE_STAY,
OFF,Grass,258,89,5,0,7,GIMMICK_MODE_STAY,
OFF,Grass,259,105,7,0,7,GIMMICK_MODE_STAY,
OFF,Grass,260,109,7,0,7,GIMMICK_MODE_STAY,
OFF,Grass,261,111,7,0,7,GIMMICK_MODE_STAY,
OFF,SpeedUp,450,288,0,0,0,GIMMICK_MODE_STAY,
OFF,SpeedUp,451,317,8,0,0,GIMMICK_MODE_STAY,
OFF,SpeedUp,452,332,4,0,0,GIMMICK_MODE_STAY,
OFF,Board,310,15,7.7,0,0,GIMMICK_MODE_STAY,
OFF,Board,311,53,4.7,0,0,GIMMICK_MODE_STAY,
OFF,Board,313,122,0.7,0,0,GIMMICK_MODE_STAY,
OFF,Board,314,342,0.7,0,0,GIMMICK_MODE_STAY,
OFF,Board,315,374,0.7,0,0,GIMMICK_MODE_STAY,
OFF,Fountain,300,267,6.25,12,0,GIMMICK_MODE_STAY,
OFF,Enemy,330,5,6.25,12,0,GIMMICK_MODE_STAY,
OFF,WaiWai,320,8,6,12,0,GIMMICK_MODE_STAY,
